Date,PR.ARA,PR.FEI,PR.MtB,PR.SARAMCO,PR.Algeria,NB.ARA,NB.FEI,NB.MtB,NB.SARAMCO,NB.Algeria,C5.MtB,Naptha.Japan`,Naptha.NWE
Jan-10,1.52,1.49,1.31,1.42,1.34,1.64,1.71,1.60,1.62,1.53,1.84,1.96,1.90
Feb-10,1.34,1.40,1.28,1.41,1.39,1.53,1.59,1.49,1.62,1.69,1.78,1.84,1.80
Mar-10,1.40,1.42,1.13,1.40,1.34,1.58,1.57,1.47,1.58,1.56,1.84,1.96,1.94
Apr-10,1.29,1.41,1.14,1.39,1.23,1.51,1.59,1.55,1.58,1.46,1.95,2.02,1.95
May-10,1.25,1.37,1.08,1.39,1.25,1.45,1.57,1.43,1.58,1.49,1.79,1.89,1.80
Jun-10,1.21,1.27,1.04,1.29,1.10,1.41,1.47,1.43,1.48,1.35,1.70,1.77,1.74
Jul-10,1.13,1.13,1.01,1.18,1.11,1.37,1.35,1.35,1.38,1.41,1.65,1.67,1.66
Aug-10,1.24,1.23,1.07,1.10,1.16,1.38,1.45,1.37,1.31,1.32,1.71,1.79,1.75
Sep-10,1.30,1.32,1.13,1.21,1.23,1.56,1.57,1.43,1.43,1.45,1.76,1.82,1.80
Oct-10,1.47,1.49,1.23,1.31,1.32,1.69,1.78,1.55,1.56,1.55,1.92,2.01,2.00
Nov-10,1.63,1.68,1.25,1.48,1.48,1.98,2.04,1.62,1.77,1.84,1.98,2.12,2.07
Dec-10,1.93,1.83,1.29,1.74,1.78,2.11,2.09,1.70,2.09,2.17,2.10,2.28,2.23
Jan-11,1.78,1.67,1.35,1.79,1.87,1.90,1.88,1.69,2.03,1.90,2.15,2.31,2.26
Feb-11,1.59,1.61,1.37,1.57,1.62,1.84,1.88,1.74,1.79,1.83,2.25,2.38,2.33
Mar-11,1.73,1.74,1.38,1.57,1.63,2.07,2.06,1.83,1.90,1.91,2.42,2.61,2.60
Apr-11,1.87,1.86,1.44,1.68,1.78,2.20,2.21,1.90,1.96,2.06,2.55,2.80,2.78
May-11,1.78,1.74,1.51,1.81,1.85,2.14,2.16,1.88,2.20,2.23,2.51,2.63,2.61
Jun-11,1.68,1.66,1.52,1.64,1.64,1.97,1.99,1.82,2.04,2.00,2.37,2.48,2.48
