Date,WM_WTI_$/bbl,WTI_-_Forward_Curve_$/bbl,WM_Brent_$/bbl,WM_Henry_Hub_Gas_US$/mmbtu,Henry_Hub_Gas_Forward_US$/mmbtu,WM_Naphtha_NWE_CIF_$/bbl,WTI/Gas_Ratio
1/1/2010,78.4,,77,5.6,,79.66666667,14
2/1/2010,76.5,,75,5.21,,75.66666667,14.68330134
3/1/2010,81.3,,80,4.3,,81.33333333,18.90697674
4/1/2010,84.6,,85.8,4.08,,81.88888889,20.73529412
5/1/2010,74.1,,77.2,4.15,,75.66666667,17.85542169
6/1/2010,75.4,,75.7,4.78,,73.22222222,15.77405858
7/1/2010,76.4,,75.5,4.59,,69.77777778,16.64488017
8/1/2010,76.7,,77.2,4.22,,73.66666667,18.17535545
9/1/2010,75.5,,78.5,3.9,,75.55555556,19.35897436
10/1/2010,82,,83.5,3.6,,83.88888889,22.77777778
11/1/2010,84.3,,86.2,4.04,,86.77777778,20.86633663
12/1/2010,89.2,,92.2,4.28,,93.66666667,20.8411215
1/1/2011,89.6,,96.9,4.5,,95,19.91111111
2/1/2011,89.7,,103.9,4.04,,97.88888889,22.2029703
3/1/2011,103,,114.7,4.07,,109.1111111,25.30712531
4/1/2011,110,,123.1,4.27,,116.8888889,25.76112412
5/1/2011,101.4,,114.4,4.34,,109.4444444,23.3640553
6/1/2011,96.3,,113.8,4.52,,104,21.30530973
7/1/2011,97.3,,116.9,4.35,,108.7777778,22.36781609
8/1/2011,86.3,,109.9,3.98,,104.4444444,21.68341709
9/1/2011,85.6,,109.8,3.85,,104.5555556,22.23376623
10/1/2011,86.4,,108.7,3.62,,98,23.86740331
11/1/2011,97.2,,110.6,3.56,,96.22222222,27.30337079
12/1/2011,98.6,,107.7,3.25,,97.44444444,30.33846154
1/1/2012,100.3,,111.5,2.71,,105.5555556,37.01107011
2/1/2012,102.3,,119,2.53,,114.3333333,40.43478261
3/1/2012,106.2,,124.5,2.3,,118.7777778,46.17391304
4/1/2012,103.3,,120.5,2.05,,114.4444444,50.3902439
5/1/2012,94.7,,110.3,2.49,,97.55555556,38.03212851
6/1/2012,82.4,,95.9,2.5,,81.22222222,32.96
7/1/2012,87.9,,102.9,2.96,,91.77777778,29.69594595
8/1/2012,94.2,,112.6,2.81,,103.8888889,33.52313167
9/1/2012,94.6,,112.8,2.92,,107.4444444,32.39726027
10/1/2012,89.6,,111.5,3.5,,106.3333333,25.6
