Months,PROPANE-ARA_large_cargo_cif_average_month_1-London_close,PROPANE-FEI_(Far_East_Index),PROPANE-Mont_Belvieu,PROPANE-Saudi_Aramco_CP_month_1,PROPANE-Sonatrach_Algeria_Bethioua_month_1,NORMAL_BUTANEARA_large_cargo_cif_average_month_1_London_close,NORMAL_BUTANEFar_East_Index_(AFEI)_Prmpt,NORMAL_BUTANEMont_Belvieu_Non-LST_(Non-LDH)_$/t_month_1_Houston_close,NORMAL_BUTANESaudi_Aramco_CP_month_1,NORMAL_BUTANESonatrach_Algeria_Bethioua_month_1,US_C5+SellerMont_Belvieu_Non-Targa_(Non-Dynegy)_month_1-Houston_close,Naphtha_BuyerJapan_c+f_half-month_1_Singapore_close,Naphtha_BuyerNWE_65_para_cif_Prmpt_London_close,,,,,,,,,,,,,,
1/1/2010,1.519883685,1.494049904,1.307203947,1.420345489,1.343570058,1.635157616,1.711699779,1.595394737,1.622516556,1.534216336,1.843094737,1.961078042,1.896263228,,,,,,,,,,,,,,
2/1/2010,1.343307678,1.398432502,1.284671053,1.41074856,1.391554702,1.526149448,1.586767231,1.494835526,1.622516556,1.688741722,1.783421053,1.840314521,1.800529101,,,,,,,,,,,,,,
3/1/2010,1.397893432,1.422473504,1.134347826,1.401151631,1.343570058,1.577688262,1.574527306,1.466820652,1.578366446,1.556291391,1.84106087,1.957729469,1.935587762,,,,,,,,,,,,,,
4/1/2010,1.287058445,1.408554977,1.135029762,1.391554702,1.22840691,1.505540949,1.592557553,1.547946429,1.578366446,1.456953642,1.9489,2.015873016,1.949404762,,,,,,,,,,,,,,
5/1/2010,1.250770583,1.37168906,1.0779375,1.391554702,1.247600768,1.453492738,1.574337748,1.43034375,1.578366446,1.485651214,1.7896875,1.887136243,1.800473406,,,,,,,,,,,,,,
6/1/2010,1.213535596,1.268452277,1.039176136,1.285988484,1.103646833,1.407479932,1.46884407,1.427840909,1.479028698,1.346578366,1.703695455,1.765782828,1.743746994,,,,,,,,,,,,,,
7/1/2010,1.129438056,1.132481242,1.00797619,1.180422265,1.113243762,1.365359422,1.345675296,1.348333333,1.379690949,1.412803532,1.646940476,1.671025734,1.661916787,,,,,,,,,,,,,,
8/1/2010,1.241917832,1.234987661,1.070028409,1.103646833,1.161228407,1.380427625,1.453116788,1.372102273,1.313465784,1.324503311,1.712613636,1.788076342,1.752708491,,,,,,,,,,,,,,
9/1/2010,1.295004362,1.317841148,1.13077381,1.209213052,1.22840691,1.559458258,1.567959634,1.426964286,1.434878587,1.445916115,1.758645238,1.816263542,1.799843675,,,,,,,,,,,,,,
10/1/2010,1.474980166,1.485010511,1.231636905,1.305182342,1.3243762,1.687850941,1.778355934,1.548958333,1.556291391,1.545253863,1.916769048,2.01281809,1.998236332,,,,,,,,,,,,,,
