"","positive","total_test_results","total_area_sq_mi","land_area_sq_mi","x2019","inta_state_flights","outgoing_flights","incoming_flights","int_flights","pop_density","midwest","northeast","south","west","east_north_central","east_south_central","middle_atlantic","mountain","new_england","pacific","south_atlantic","west_north_central","west_south_central"
"AL",9221,120114,52420,50645,4903185,0,3157,3170,9,93.5365318580694,0,0,1,0,0,1,0,0,0,0,0,0,0
"AR",3694,63994,53179,52035,3017804,0,2449,2450,0,56.7480396397074,0,0,1,0,0,0,0,0,0,0,0,0,1
"AZ",10526,119907,113990,113594,7278717,938,16852,16834,234,63.8539959645583,0,0,0,1,0,0,0,1,0,0,0,0,0
"CA",62512,875272,163695,155779,39512223,20970,45150,45109,3037,241.377091542197,0,0,0,1,0,0,0,0,0,1,0,0,0
"CO",18801,94536,104094,103642,5758736,1580,21906,21933,328,55.3224585470824,0,0,0,1,0,0,0,1,0,0,0,0,0
"CT",32411,120541,5543,4842,3565287,0,2329,2332,21,643.205303987011,0,1,0,0,0,0,0,0,1,0,0,0,0
"FL",39199,513341,65758,53625,21477737,2718,50681,50659,2685,326.617856382493,0,0,1,0,0,0,0,0,0,0,1,0,0
"GA",32106,227567,59425,57513,10617423,1703,32346,32350,944,178.66929743374,0,0,1,0,0,0,0,0,0,0,1,0,0
"IA",11457,70261,56273,55857,3155070,0,2325,2335,1,56.0672080749205,1,0,0,0,0,0,0,0,0,0,0,1,0
"ID",2178,31270,83569,82643,1787065,0,2226,2233,3,21.384305184937,0,0,0,1,0,0,0,1,0,0,0,0,0
"IL",73760,399714,57914,55519,12671821,971,31178,31144,1375,218.804106088338,1,0,0,0,1,0,0,0,0,0,0,0,0
"IN",23146,130128,36420,35826,6732219,0,5322,5323,83,184.849505766063,1,0,0,0,1,0,0,0,0,0,0,0,0
"KS",6501,47708,82278,81759,2913314,103,1140,1142,0,35.4081771554972,1,0,0,0,0,0,0,0,0,0,0,1,0
"KY",6129,81401,40408,39486,4467673,0,6338,6347,294,110.564071470996,0,0,1,0,0,1,0,0,0,0,0,0,0
"LA",30855,202416,52378,43204,4648794,0,6846,6862,19,88.754706174348,0,0,1,0,0,0,0,0,0,0,0,0,1
"MA",75333,366023,10554,7800,6892503,0,12248,12261,807,653.070210346788,0,1,0,0,0,0,0,0,1,0,0,0,0
"MD",30485,152187,12406,9707,6045680,0,7846,7831,162,487.319039174593,0,0,1,0,0,0,0,0,0,0,1,0,0
"ME",1374,23466,35380,30843,1344212,0,969,977,0,37.9935556811758,0,1,0,0,0,0,0,0,1,0,0,0,0
"MI",46326,260253,96714,56539,9986857,1694,14734,14738,488,103.261751142544,1,0,0,0,1,0,0,0,0,0,0,0,0
"MN",10088,101270,86936,79627,5639632,925,12078,12077,406,64.8710775743075,1,0,0,0,0,0,0,0,0,0,0,1,0
"MO",9489,108721,69707,68742,6137428,186,10391,10423,69,88.0460785860817,1,0,0,0,0,0,0,0,0,0,0,1,0
"MS",9090,81191,48432,46923,2976149,0,1312,1312,8,61.450053683515,0,0,1,0,0,1,0,0,0,0,0,0,0
"MT",458,20945,147040,145546,1068778,0,1884,1882,1,7.26862078346028,0,0,0,1,0,0,0,1,0,0,0,0,0
"NC",13868,178613,53819,48618,10488084,2987,25335,25308,375,194.876976532451,0,0,1,0,0,0,0,0,0,0,1,0,0
"ND",1425,42501,70698,69001,762062,75,1421,1429,0,10.7791168066989,1,0,0,0,0,0,0,0,0,0,0,1,0
"NE",7190,40412,77348,76824,1934408,0,2522,2523,0,25.0091534364172,1,0,0,0,0,0,0,0,0,0,0,1,0
"NH",2843,30672,9349,8953,1359711,0,591,596,0,145.439191357364,0,1,0,0,0,0,0,0,1,0,0,0,0
"NJ",135454,298759,8723,7354,8882190,0,11901,11906,1705,1018.24945546257,0,1,0,0,0,0,1,0,0,0,0,0,0
"NM",4493,89032,121590,121298,2096829,0,2167,2169,0,17.2450777202073,0,0,0,1,0,0,0,1,0,0,0,0,0
"NV",5884,53344,110572,109781,3080156,676,15132,15131,356,27.8565640487646,0,0,0,1,0,0,0,1,0,0,0,0,0
"NY",330407,1121543,54555,47126,19453561,1768,29173,29180,2754,356.586215745578,0,1,0,0,0,0,1,0,0,0,0,0,0
"OH",23016,184316,44826,40861,11689100,0,8922,8921,159,260.766073261054,1,0,0,0,1,0,0,0,0,0,0,0,0
"OK",4424,89857,69899,68595,3956971,0,3326,3333,1,56.6098370506016,0,0,1,0,0,0,0,0,0,0,0,0,1
"OR",3068,72693,98379,95988,4217737,0,6175,6185,131,42.8723304770327,0,0,0,1,0,0,0,0,0,1,0,0,0
"PA",54238,270559,46054,44743,12801989,323,13971,13976,643,277.977786945759,0,1,0,0,0,0,1,0,0,0,0,0,0
"RI",10779,85266,1545,1034,1059361,0,1397,1403,3,685.670550161812,0,1,0,0,0,0,0,0,1,0,0,0,0
"SC",7142,73442,32020,30061,5148714,0,4367,4373,81,160.796814490943,0,0,1,0,0,0,0,0,0,0,1,0,0
"SD",3144,21293,77116,75811,884659,0,1059,1058,0,11.4717957362934,1,0,0,0,0,0,0,0,0,0,0,1,0
"TN",14441,243578,42144,41235,6829174,0,10926,10930,68,162.043802201974,0,0,1,0,0,1,0,0,0,0,0,0,0
"TX",36609,477118,268596,261232,28995881,16858,47227,47198,1479,107.953510104395,0,0,1,0,0,0,0,0,0,0,0,0,1
"UT",5919,138688,84897,82170,3205958,346,10358,10355,55,37.7629127059849,0,0,0,1,0,0,0,1,0,0,0,0,0
"VA",22342,129945,42775,39490,8535519,0,4940,4951,42,199.544570426651,0,0,1,0,0,0,0,0,0,0,1,0,0
"VT",919,19008,9616,9217,623989,0,628,629,0,64.8907029950083,0,1,0,0,0,0,0,0,1,0,0,0,0
"WA",16231,230680,71298,66456,7614893,589,12530,12512,653,106.803739235322,0,0,0,1,0,0,0,0,0,1,0,0,0
"WI",9590,106855,65496,54158,5822434,0,4762,4759,32,88.8975509954806,1,0,0,0,1,0,0,0,0,0,0,0,0
"WV",1310,59436,24230,24038,1792147,0,500,504,0,73.963970284771,0,0,1,0,0,0,0,0,0,0,1,0,0
"WY",635,12038,97813,97093,578759,38,804,807,0,5.91699467350966,0,0,0,1,0,0,0,1,0,0,0,0,0
